Ligand ID,Count,Type
ZN,65926,Transition metal
MG,49745,Non-transition metal
CA,44439,Non-transition metal
MN,12796,Transition metal
FE,7572,Transition metal
CU,6635,Transition metal
FE2,3796,Transition metal
CO,2131,Transition metal
NA,993,Non-transition metal
CU1,809,Transition metal
K,729,Non-transition metal
NI,417,Transition metal
CD,227,Transition metal
MN3,123,Transition metal
AU,87,Transition metal
AG,69,Transition metal
3CO,54,Transition metal
HG,51,Transition metal
PB,35,Transition metal
TB,33,Transition metal
