Metal,Atom,L,H
CA,N,1.682803197392263,3.464165900814737
CA,O,1.88610277248427,3.0267117122941616
CD,N,1.9107902635141705,2.7841186281492365
CD,O,1.6776508539677257,3.114935893261798
CD,S,2.187237706544885,2.894973771083008
CO,N,1.6366853142590863,2.7416662329528396
CO,O,1.5395143448373647,2.8862488627793823
CO,S,1.7483083615886001,2.9103296283032996
CU,N,1.5033450000901418,2.7774561450810786
CU,O,1.5069774847029125,3.107756323973808
CU,S,1.6769212600743355,2.8951845281124475
CU1,N,1.5165125334134557,2.625199159696973
CU1,O,1.9366368218159837,2.8854230863481916
CU1,S,1.6391923944466975,2.7212487882163843
FE,N,1.7558576178998737,2.6869236286914595
FE,O,1.5880038586817489,2.8223260083886097
FE,S,1.7889548493903136,2.907573217472184
FE2,N,1.875449095532182,2.697730142980255
FE2,O,1.5627067771926377,2.9514225424470393
FE2,S,1.5830995119181737,3.133346399580123
HG,N,1.5498416868116842,3.0727517292963413
HG,O,1.664731399465703,3.507755613335929
HG,S,1.6906356567245342,3.418695119850915
K,N,2.100285383152933,4.258676370692282
K,O,2.082763753007284,3.5999078970685625
MG,N,1.6744649762316577,3.128946192311372
MG,O,1.578427379941545,2.97781807415805
MN,N,1.7106352060614192,2.8728101676916644
MN,O,1.5949728531754368,2.9168322820244517
MN3,N,1.9538641672290362,2.5018575651128456
MN3,O,1.4969518827312276,2.773146572982765
NA,N,2.122386224690344,3.619496697742295
NA,O,1.868229128198044,3.061350825333807
NI,N,1.718758637952176,2.61001211975998
NI,O,1.5400366245003836,2.8379288334018167
NI,S,1.2310060075674416,3.2697471422115054
ZN,N,1.6463998961439468,2.6562788369725596
ZN,O,1.4432587911594308,2.9611911782785976
ZN,S,1.9102681057569906,2.766687585725952
